PariticipantID,SessionIndex,SessionStart,SessionEnd,PracticeStart,PracticeEnd,MainStart,MainEnd,QuestionStart,QuestionEnd,TrialStatus,TrialIndex,TrialStart,TrialVisualizationStart,TrialVisualizationEnd,TrialAnswerStart,TrialAnswerEnd,TrialFeedbackStart,TrialEnd,TrialAnswer,TrialIntAccuracy,TrialSolution,TrialDataset,FactorStereo,FactorMotion,FactorPerspective,FactorShading,Dim,Step,BinIndex,BinLower,BinUpper,File
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,7,1553000078119,1553000079135,1553000081554,1553000082555,1553000085185,-999,1553000085236,80,90,0.9026,cifar10,yes,no,no,flat,3,6.33333,3,86.1667,92.5,cifar10-e0106-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,8,1553000085236,1553000086254,1553000095123,1553000096128,1553000098670,-999,1553000098721,85,90,0.9052,cifar10,yes,no,no,shading-2,3,6.33333,3,86.1667,92.5,cifar10-e0141-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,9,1553000098721,1553000099737,1553000103363,1553000104368,1553000108643,-999,1553000108694,63,65,0.6528,cifar10,yes,no,no,shading-2,3,6.33333,0,38.5,73.5,cifar10-e0007-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,10,1553000108694,1553000109710,1553000114192,1553000115197,1553000119011,-999,1553000119062,73,83,0.8352,cifar10,yes,no,no,shading-2,3,6.33333,2,79.8333,86.1667,cifar10-e0048-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,11,1553000119062,1553000120083,1553000121123,1553000122127,1553000127730,-999,1553000127781,75,79,0.7914,cifar10,yes,no,no,shading-2,3,6.33333,1,73.5,79.8333,cifar10-e0080-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,12,1553000127781,1553000128802,1553000133020,1553000134022,1553000137592,-999,1553000137643,65,74,0.7458,cifar10,yes,no,yes,flat,3,6.33333,1,73.5,79.8333,cifar10-e0018-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,13,1553000137643,1553000138665,1553000139673,1553000140674,1553000146315,-999,1553000146366,41,70,0.7044,cifar10,yes,no,yes,flat,3,6.33333,0,38.5,73.5,cifar10-e0008-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,14,1553000146366,1553000147383,1553000151679,1553000152680,1553000159066,-999,1553000159117,46,90,0.9074,cifar10,yes,no,yes,flat,3,6.33333,3,86.1667,92.5,cifar10-e0122-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,15,1553000159117,1553000160133,1553000163496,1553000164498,1553000170816,-999,1553000170867,46,83,0.8302,cifar10,yes,no,yes,flat,3,6.33333,2,79.8333,86.1667,cifar10-e0071-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,16,1553000170867,1553000171883,1553000175188,1553000176192,1553000183099,-999,1553000183150,52,83,0.8314,cifar10,yes,no,yes,shading-2,3,6.33333,2,79.8333,86.1667,cifar10-e0050-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,17,1553000183150,1553000184166,1553000186639,1553000187643,1553000190618,-999,1553000190669,77,89,0.8992,cifar10,yes,no,yes,shading-2,3,6.33333,3,86.1667,92.5,cifar10-e0107-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,18,1553000190669,1553000191686,1553000194302,1553000195306,1553000199813,-999,1553000199864,57,65,0.653,cifar10,yes,no,yes,shading-2,3,6.33333,0,38.5,73.5,cifar10-e0007-f0-5k-l-2-tsne.txt
